,ClassEntropy,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilityMin,ClassProbabilitySTD,DatasetRatio,InverseDatasetRatio,KurtosisMax,KurtosisMean,KurtosisMin,KurtosisSTD,Landmark1NN,LandmarkDecisionNodeLearner,LandmarkDecisionTree,LandmarkLDA,LandmarkNaiveBayes,LandmarkRandomNodeLearner,LogDatasetRatio,LogInverseDatasetRatio,LogNumberOfFeatures,LogNumberOfInstances,NumberOfCategoricalFeatures,NumberOfClasses,NumberOfFeatures,NumberOfFeaturesWithMissingValues,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,PCAFractionOfComponentsFor95PercentVariance,PCAKurtosisFirstPC,PCASkewnessFirstPC,PercentageOfFeaturesWithMissingValues,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,RatioNominalToNumerical,RatioNumericalToNominal,SkewnessMax,SkewnessMean,SkewnessMin,SkewnessSTD,SymbolsMax,SymbolsMean,SymbolsMin,SymbolsSTD,SymbolsSum
10,1.22767750194658,0.547297297297297,0.25,0.0135135135135135,0.234693978823762,0.121621621621622,8.22222222222222,28.7136089467821,9.51243757778091,-0.527494559708455,13.582016584736,0.817380952380952,0.758373015873016,0.843551587301587,0.829662698412698,0.61265873015873,0.549523809523809,-2.10684051586795,2.10684051586795,2.89037175789616,4.99721227376411,15.0,4.0,18.0,0.0,148.0,0.0,0.0,3.0,0.446808510638298,-0.350354368575289,-0.558601676478616,0.0,0.0,0.0,5.0,0.2,5.38704659459622,2.30284349795081,0.330402533057572,2.20898522244523,8.0,2.93333333333333,2.0,1.56914697279198,44.0
1004,0.650022421648354,0.833333333333333,0.5,0.166666666666667,0.333333333333333,0.1,10.0,0.583361725005641,-0.562755299418059,-1.21476745605469,0.592995672852647,1.0,0.975,0.99,1.0,1.0,0.833333333333333,-2.30258509299405,2.30258509299405,4.0943445622221,6.39692965521615,0.0,2.0,60.0,0.0,600.0,0.0,0.0,60.0,0.483333333333333,-0.873059034347534,0.0242934059351683,0.0,0.0,0.0,0.0,0.0,0.931437373161316,0.0339196503880278,-0.690259277820587,0.288004700886337,0.0,0.0,0.0,0.0,0.0
1005,0.938575088938064,0.644859813084112,0.5,0.355140186915888,0.144859813084112,0.0420560747663551,23.7777777777778,53.3923357981827,9.65063431631179,-0.428701911591718,15.8282037339775,0.795064935064935,0.702186147186147,0.791709956709957,0.672467532467532,0.592445887445887,0.645151515151515,-3.16875143768563,3.16875143768563,2.19722457733622,5.36597601502185,0.0,2.0,9.0,0.0,214.0,0.0,0.0,9.0,0.666666666666667,2.53993988037109,0.432219445705414,0.0,0.0,0.0,0.0,0.0,6.50563669204712,1.64098786314329,-1.14446473121643,2.16586264859835,0.0,0.0,0.0,0.0,0.0
1006,0.993535622424049,0.547297297297297,0.5,0.452702702702703,0.0472972972972973,0.121621621621622,8.22222222222222,28.7136089467821,9.51243757778091,-0.527494559708455,13.582016584736,0.829880952380952,0.797023809523809,0.864642857142857,0.842797619047619,0.683035714285714,0.547678571428571,-2.10684051586795,2.10684051586795,2.89037175789616,4.99721227376411,15.0,2.0,18.0,0.0,148.0,0.0,0.0,3.0,0.446808510638298,-0.350354368575289,-0.558601676478616,0.0,0.0,0.0,5.0,0.2,5.38704659459622,2.30284349795081,0.330402533057572,2.20898522244523,8.0,2.93333333333333,2.0,1.56914697279198,44.0
1009,0.96906325278207,0.603174603174603,0.5,0.396825396825397,0.103174603174603,0.492063492063492,2.03225806451613,43.765029886274,7.05077891334826,-0.463743858991124,11.8743452463028,0.611904761904762,0.572380952380952,0.61,0.781428571428571,0.616666666666667,0.605714285714286,-0.709147521906387,0.709147521906386,3.43398720448515,4.14313472639153,4.0,2.0,31.0,0.0,63.0,0.0,0.0,27.0,0.534883720930233,-0.944196876837633,-0.0431432420096557,0.0,0.0,0.0,0.148148148148148,6.75,6.27950245468845,1.63875544549282,-0.308215622242706,1.68889188881509,7.0,4.0,3.0,1.73205080756888,16.0
1011,0.983966799707185,0.574404761904762,0.5,0.425595238095238,0.0744047619047619,0.0208333333333333,48.0,331.002990722656,51.1879929564075,-1.04707575966737,114.67076731076,0.946493506493506,0.881731601731602,0.928484848484848,0.961471861471862,0.598354978354978,0.72943722943723,-3.87120101090789,3.87120101090789,1.94591014905531,5.8171111599632,0.0,2.0,7.0,0.0,336.0,0.0,0.0,7.0,0.857142857142857,-1.11146914958954,0.170575842261314,0.0,0.0,0.0,0.0,0.0,18.2483692169189,3.58938526575054,-0.165213868021965,6.25999764877759,0.0,0.0,0.0,0.0,0.0
1012,0.939030248885816,0.644329896907217,0.5,0.355670103092784,0.144329896907217,0.144329896907216,6.92857142857143,80.7965375169919,68.2689377533614,55.741337989731,12.5275997636305,0.680701754385965,0.644298245614035,0.691754385964912,0.695643274853801,0.644298245614035,0.644298245614035,-1.93565364888812,1.93565364888812,3.3322045101752,5.26785815906333,26.0,2.0,28.0,0.0,194.0,0.0,0.0,2.0,0.366666666666667,-0.227235310211595,-0.593766257903717,0.0,0.0,0.0,13.0,0.0769230769230769,8.53874115823978,7.63597271059792,6.73320426295606,0.902768447641858,14.0,4.53846153846154,2.0,3.4444020272674,118.0
1013,0.347816913571063,0.934782608695652,0.5,0.0652173913043478,0.434782608695652,0.0144927536231884,69.0,-0.016832067271352,-0.016832067271352,-0.016832067271352,0.0,0.914285714285714,0.935714285714286,0.935714285714286,0.928571428571429,0.178571428571429,0.935714285714286,-4.23410650459726,4.23410650459726,0.693147180559945,4.92725368515721,1.0,2.0,2.0,0.0,138.0,0.0,0.0,1.0,0.75,-0.0884632024618632,0.55909367460665,0.0,0.0,0.0,1.0,1.0,-0.610276136739093,-0.610276136739093,-0.610276136739093,0.0,3.0,3.0,3.0,0.0,3.0
1014,0.710748318570114,0.805520702634881,0.5,0.194479297365119,0.305520702634881,0.00501882057716437,199.25,0.0,0.0,0.0,0.0,0.653742772308173,0.805557118299734,0.700325832161275,0.805557118299734,0.529383692764495,0.805557118299734,-5.29456031767032,5.29456031767032,1.38629436111989,6.68085467879022,4.0,2.0,4.0,0.0,797.0,0.0,0.0,0.0,0.714285714285714,-1.66719781681037,0.0382997114085766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.25,2.0,2.8613807855649,21.0
1015,0.650022421648354,0.833333333333333,0.5,0.166666666666667,0.333333333333333,0.0416666666666667,24.0,-0.149173974990845,-1.10665682951609,-1.93826723098755,0.73579733418542,0.835714285714286,0.848214285714286,0.873214285714286,0.875,0.776785714285714,0.835714285714286,-3.17805383034795,3.17805383034795,1.09861228866811,4.27666611901606,0.0,2.0,3.0,0.0,72.0,0.0,0.0,3.0,0.666666666666667,-1.91502857208252,0.0501666776835918,0.0,0.0,0.0,0.0,0.0,0.843818545341492,0.357612137993177,0.037632942199707,0.349482876141541,0.0,0.0,0.0,0.0,0.0
1016,0.439496986921513,0.909090909090909,0.5,0.0909090909090909,0.409090909090909,0.0121212121212121,82.5,0.145598957690908,-0.395105542589668,-0.762830067599443,0.258192190824748,1.0,0.947474747474748,0.982828282828283,0.956565656565657,0.925252525252525,0.909090909090909,-4.41279829334063,4.41279829334063,2.484906649788,6.89770494312864,2.0,2.0,12.0,0.0,990.0,0.0,0.0,10.0,0.481481481481481,0.140496315477069,-0.847312340277807,0.0,0.0,0.0,0.2,5.0,0.35651919227207,0.0911146657374967,-0.205782191103961,0.159641032205221,15.0,8.5,2.0,6.5,17.0
1019,0.481783666269573,0.895924308588064,0.5,0.104075691411936,0.395924308588064,0.00145560407569141,687.0,3.04881477355957,-0.501360846176957,-1.68557214736938,1.1107629436034,0.997908429150467,0.895924525163327,0.988446518316415,0.971796996351136,0.972618158192555,0.895924525163327,-6.53233429222235,6.53233429222235,2.77258872223978,9.30492301446213,0.0,2.0,16.0,0.0,10992.0,0.0,0.0,16.0,0.625,-0.861941814422607,0.635717332363129,0.0,0.0,0.0,0.0,0.0,0.948135256767273,-0.0391907835146412,-1.49097955226898,0.654752286300561,0.0,0.0,0.0,0.0,0.0
1020,0.468995593589281,0.9,0.5,0.1,0.4,0.032,31.25,0.576492786407471,-0.0485394160724205,-0.945347547531128,0.251701750767757,0.987,0.9,0.956,0.9915,0.9845,0.9,-3.44201937618241,3.44201937618241,4.15888308335967,7.60090245954208,0.0,2.0,64.0,0.0,2000.0,0.0,0.0,64.0,0.78125,-0.159642457962036,0.308281183242798,0.0,0.0,0.0,0.0,0.0,0.418407946825027,-0.0042824507968362,-0.338858723640442,0.163290955852843,0.0,0.0,0.0,0.0,0.0
1021,0.476308484222666,0.897679517632012,0.5,0.102320482367988,0.397679517632012,0.00182715147085693,547.3,4812.48885530099,652.232474121785,0.690200694871079,1402.86425950273,0.96930336673828,0.897130999879903,0.966378988243772,0.9482876072539,0.900235191288915,0.897679445949372,-6.30499709814987,6.30499709814987,2.30258509299405,8.60758219114392,0.0,2.0,10.0,0.0,5473.0,0.0,0.0,10.0,0.7,108.067314147949,8.05505561828613,0.0,0.0,0.0,0.0,0.0,67.4069442749023,14.7074215590954,-0.834488689899445,18.8852562414228,0.0,0.0,0.0,0.0,0.0
1022,0.468995593589281,0.9,0.5,0.1,0.4,0.12,8.33333333333333,0.0,0.0,0.0,0.0,0.9875,0.9,0.9835,0.9125,0.9685,0.9,-2.12026353620009,2.12026353620009,5.48063892334199,7.60090245954208,240.0,2.0,240.0,0.0,2000.0,0.0,0.0,0.0,0.423543689320388,-0.804969545976689,-0.197643778488193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.86666666666667,5.0,0.490464632318739,1648.0
1025,0.769192829013014,0.775,0.5,0.225,0.275,0.0125,80.0,0.0,0.0,0.0,0.0,0.79,0.79,0.91,0.9075,0.69,0.775,-4.38202663467388,4.38202663467388,1.6094379124341,5.99146454710798,5.0,2.0,5.0,0.0,400.0,0.0,0.0,0.0,0.722222222222222,-1.93570840722166,9.42055475210265e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.6,2.0,1.35646599662505,18.0
1026,0.900122143691371,0.683870967741935,0.5,0.316129032258064,0.183870967741935,0.0516129032258065,19.375,-0.32085159896278,-0.799694020125932,-1.27853644128908,0.478842421163151,0.690178571428571,0.690595238095238,0.672321428571429,0.696428571428571,0.594821428571429,0.711547619047619,-2.96398357523941,2.96398357523941,2.07944154167984,5.04342511691925,6.0,2.0,8.0,0.0,155.0,0.0,0.0,2.0,0.5,-1.34908037097495,-0.245076943082678,0.0,0.0,0.0,3.0,0.333333333333333,0.580095159883774,0.397135925580277,0.21417669127678,0.182959234303497,21.0,7.66666666666667,3.0,6.15539510420646,46.0
1036,0.333564012148065,0.938450850989927,0.5,0.0615491490100729,0.438450850989927,0.0150052101424106,66.6435185185185,14390.0012410879,550.035879695532,-3.0,1856.02151013443,0.980062251799309,0.938450982434165,0.990552755805583,0.984438313896103,0.95977819815977,0.938450982434165,-4.19935779536211,4.19935779536211,5.37527840768417,9.57463620304628,0.0,2.0,216.0,0.0,14395.0,0.0,0.0,216.0,0.777777777777778,2.51962852478027,1.43091380596161,0.0,0.0,0.0,0.0,0.0,119.966667175293,13.1013284300764,-1.17883491516113,19.4937481656906,0.0,0.0,0.0,0.0,0.0
1038,0.999798227209538,0.508362168396771,0.5,0.49163783160323,0.00836216839677048,0.279700115340254,3.57525773195876,283.446121956751,18.6198858494228,-1.82624161243439,39.2967043778901,0.78834993203703,0.733239928527349,0.85695492194933,0.829594671105753,0.785755491846454,0.5043286208256,-1.274037266403,1.274037266403,6.87729607149743,8.15133333790043,0.0,2.0,970.0,0.0,3468.0,0.0,0.0,970.0,0.355670103092784,0.775321960449219,0.913739621639252,0.0,0.0,0.0,0.0,0.0,16.1105995178223,2.93300867503204,-0.244499802589417,3.26660199419035,0.0,0.0,0.0,0.0,0.0
